v,t,y,x
1,347221153,-74.258,40.908
1,347221153,-74.258,40.91
1,347221453,-74.258,40.91
1,347221453,-74.256,40.91
1,347221453,-74.254,40.91
1,347221153,-74.254,40.91
1,347221153,-74.256,40.91
1,347221153,-74.256,40.908
1,347221153,-74.254,40.908
1,347221453,-74.254,40.908
1,347221453,-74.256,40.908
1,347221453,-74.256,40.906
1,347221153,-74.256,40.906
1,347221153,-74.256,40.904
1,347221453,-74.256,40.904
1,347221453,-74.254,40.904
1,347221153,-74.254,40.904
1,347221153,-74.254,40.906
1,347221453,-74.254,40.906
1,347221453,-74.252,40.906
1,347221153,-74.252,40.906
1,347221153,-74.252,40.904
1,347221453,-74.252,40.904
1,347221453,-74.25,40.904
1,347221153,-74.25,40.904
1,347221153,-74.25,40.906
1,347221453,-74.25,40.906
1,347221453,-74.25,40.908
1,347221453,-74.25,40.91
1,347221453,-74.252,40.91
1,347221453,-74.252,40.908
1,347221153,-74.252,40.908
1,347221153,-74.252,40.91
1,347221153,-74.25,40.91
1,347221153,-74.25,40.908
1,347220853,-74.25,40.908
1,347220853,-74.25,40.91
1,347220853,-74.252,40.91
1,347220853,-74.252,40.908
1,347220553,-74.252,40.908
1,347220553,-74.252,40.91
1,347220553,-74.25,40.91
1,347220553,-74.25,40.908
1,347220553,-74.25,40.906
1,347220853,-74.25,40.906
1,347220853,-74.25,40.904
1,347220553,-74.25,40.904
1,347220553,-74.252,40.904
1,347220853,-74.252,40.904
1,347220853,-74.252,40.906
1,347220553,-74.252,40.906
1,347220553,-74.254,40.906
1,347220853,-74.254,40.906
1,347220853,-74.254,40.904
1,347220553,-74.254,40.904
1,347220553,-74.256,40.904
1,347220853,-74.256,40.904
1,347220853,-74.256,40.906
1,347220553,-74.256,40.906
1,347220553,-74.256,40.908
1,347220553,-74.254,40.908
1,347220853,-74.254,40.908
1,347220853,-74.256,40.908
1,347220853,-74.256,40.91
1,347220853,-74.254,40.91
1,347220553,-74.254,40.91
1,347220553,-74.256,40.91
1,347220252,-74.256,40.91
1,347220252,-74.254,40.91
1,347219952,-74.254,40.91
1,347219952,-74.256,40.91
1,347219952,-74.256,40.908
1,347219952,-74.254,40.908
1,347220252,-74.254,40.908
1,347220252,-74.256,40.908
1,347220252,-74.256,40.906
1,347219952,-74.256,40.906
1,347219952,-74.256,40.904
1,347220252,-74.256,40.904
1,347220252,-74.254,40.904
1,347219952,-74.254,40.904
1,347219952,-74.254,40.906
1,347220252,-74.254,40.906
1,347220252,-74.252,40.906
1,347219952,-74.252,40.906
1,347219952,-74.252,40.904
1,347220252,-74.252,40.904
1,347220252,-74.25,40.904
1,347219952,-74.25,40.904
1,347219952,-74.25,40.906
1,347220252,-74.25,40.906
1,347220252,-74.25,40.908
1,347220252,-74.25,40.91
1,347220252,-74.252,40.91
1,347220252,-74.252,40.908
1,347219952,-74.252,40.908
1,347219952,-74.252,40.91
1,347219952,-74.25,40.91
1,347219952,-74.25,40.908
1,347219652,-74.25,40.908
1,347219652,-74.25,40.91
1,347219652,-74.252,40.91
1,347219652,-74.252,40.908
1,347219351,-74.252,40.908
1,347219351,-74.252,40.91
1,347219351,-74.25,40.91
1,347219351,-74.25,40.908
1,347219351,-74.25,40.906
1,347219652,-74.25,40.906
1,347219652,-74.25,40.904
1,347219351,-74.25,40.904
1,347219351,-74.252,40.904
1,347219652,-74.252,40.904
1,347219652,-74.252,40.906
1,347219351,-74.252,40.906
1,347219351,-74.254,40.906
1,347219652,-74.254,40.906
1,347219652,-74.254,40.904
1,347219351,-74.254,40.904
1,347219351,-74.256,40.904
1,347219652,-74.256,40.904
1,347219652,-74.256,40.906
1,347219351,-74.256,40.906
1,347219351,-74.256,40.908
1,347219351,-74.254,40.908
1,347219652,-74.254,40.908
1,347219652,-74.256,40.908
1,347219652,-74.256,40.91
1,347219652,-74.254,40.91
1,347219351,-74.254,40.91
1,347219351,-74.256,40.91
1,347219351,-74.258,40.91
1,347219351,-74.258,40.908
1,347219351,-74.26,40.908
1,347219351,-74.26,40.91
1,347219652,-74.26,40.91
1,347219652,-74.26,40.908
1,347219652,-74.258,40.908
1,347219652,-74.258,40.91
1,347219952,-74.258,40.91
1,347219952,-74.26,40.91
1,347220252,-74.26,40.91
1,347220252,-74.258,40.91
1,347220252,-74.258,40.908
1,347220252,-74.26,40.908
1,347219952,-74.26,40.908
1,347219952,-74.258,40.908
1,347219952,-74.258,40.906
1,347219952,-74.26,40.906
1,347220252,-74.26,40.906
1,347220252,-74.258,40.906
1,347220252,-74.258,40.904
1,347220252,-74.26,40.904
1,347219952,-74.26,40.904
1,347219952,-74.258,40.904
1,347219652,-74.258,40.904
1,347219351,-74.258,40.904
1,347219351,-74.258,40.906
1,347219652,-74.258,40.906
1,347219652,-74.26,40.906
1,347219351,-74.26,40.906
1,347219351,-74.26,40.904
1,347219652,-74.26,40.904
1,347219652,-74.26,40.918
1,347219351,-74.26,40.918
1,347219351,-74.26,40.916
1,347219652,-74.26,40.916
1,347219652,-74.258,40.916
1,347219351,-74.258,40.916
1,347219351,-74.258,40.918
1,347219652,-74.258,40.918
1,347219952,-74.258,40.918
1,347219952,-74.26,40.918
1,347220252,-74.26,40.918
1,347220252,-74.258,40.918
1,347220252,-74.258,40.916
1,347220252,-74.26,40.916
1,347219952,-74.26,40.916
1,347219952,-74.258,40.916
1,347219952,-74.258,40.914
1,347219952,-74.26,40.914
1,347220252,-74.26,40.914
1,347220252,-74.258,40.914
1,347220252,-74.258,40.912
1,347220252,-74.26,40.912
1,347219952,-74.26,40.912
1,347219952,-74.258,40.912
1,347219652,-74.258,40.912
1,347219652,-74.258,40.914
1,347219652,-74.26,40.914
1,347219652,-74.26,40.912
1,347219351,-74.26,40.912
1,347219351,-74.26,40.914
1,347219351,-74.258,40.914
1,347219351,-74.258,40.912
1,347219351,-74.256,40.912
1,347219351,-74.254,40.912
1,347219652,-74.254,40.912
1,347219652,-74.256,40.912
1,347219652,-74.254,40.914
1,347219351,-74.254,40.914
1,347219351,-74.256,40.914
1,347219351,-74.256,40.916
1,347219652,-74.256,40.916
1,347219652,-74.256,40.918
1,347219351,-74.256,40.918
1,347219351,-74.254,40.918
